Gender	Age	Major	Religion	Cafeteria	Expenditure	Study_hours	CGPA	Motivate_learning	Supportive	Achievements	Comfortable_classmates	Comfortable_ faculty	Participate	Friends	After_school	Overall_academic_experience	Rate_ Ashesi
Female	19	BA	Christian	Munchies	150	3	3.06	Writing a lot of quizzes	Neutral	Doing the right thing even when no one is watching	Somewhat comfortable	Somewhat comfortable	Yes	5	Sleep	Satisfied	Average
Male	20	CS	Christian	Akornor	350	3	3.26	Teaching your colleagues	Somewhat supportive	Making the Dean’s list	Very comfortable	Somewhat comfortable	Yes	21	Watch TV/Movie	Neither satisfied nor dissatisfied	Above average
Male	18	CS	Christian	BigBen	200	3	3.6	Others	Somewhat supportive	Making the Dean’s list	Very comfortable	Very comfortable	Yes	4	Others	Satisfied	Above average
Male	19	BA	Christian	BigBen	60	6	3.88	Others	Neutral	Making the Dean’s list	Somewhat comfortable	Very comfortable	Yes	4	Others	Satisfied	Above average
Male	20	CS	Christian	Munchies	400	4 	3.3	Others	 Extremely Supportive	Doing the right thing even when no one is watching	Very comfortable	Somewhat comfortable	Yes	20	Sleep	Neither satisfied nor dissatisfied	Above average
Male	19	MIS	Christian	BigBen	490	4	2.37	Completing various assignments	Neutral	Getting a perfect GPA at the end of the semester	Very comfortable	Somewhat comfortable	Yes	110	Others	Neither satisfied nor dissatisfied	Above average
Male	19	CS	Christian	BigBen	420	2 	3.43	Completing various assignments	Somewhat supportive	Getting a perfect GPA at the end of the semester	Somewhat comfortable	Very comfortable	Yes	7	Sleep	Neither satisfied nor dissatisfied	Average
Male	20	CS	Christian	Munchies	600	2 	3.2	Teaching your colleagues	 Extremely Supportive	Getting a perfect GPA at the end of the semester	Very comfortable	Somewhat comfortable	Yes	4	Sleep	Neither satisfied nor dissatisfied	Average
Female	19	BA	Christian	Munchies	500	4	3.53	Teaching your colleagues	Somewhat supportive	Supporting your colleague(s) to excel in academics	Very comfortable	Somewhat comfortable	Yes	5	Sleep	Satisfied	Excellent
Female	23	CS	Christian	BigBen	280	2	3.12	Others	Somewhat supportive	Doing the right thing even when no one is watching	Somewhat comfortable	Very comfortable	Yes	1	Others	Satisfied	Above average
Male	19	CS	Christian	Munchies	500	7	2.94	Teaching your colleagues	Neutral	Others	Neither comfortable nor uncomfortable	Somewhat comfortable	No	70	Watch YouTube Videos	Neither satisfied nor dissatisfied	Below average
Male	19	CS	Christian	Akornor	250	2	3.25	Others	Somewhat supportive	Doing the right thing even when no one is watching	Very comfortable	Neither comfortable nor uncomfortable	No	4	Watch YouTube Videos	 Dissatisfied	Above average
Male	19	CS	Christian	Munchies	294	2	3.75	Others	Neutral	Supporting your colleague(s) to excel in academics	Neither comfortable nor uncomfortable	Somewhat comfortable	Yes	4	 Play a sport	Very satisfied	Excellent
Female	20	BA	Christian	Munchies	350	37	3.29	Teaching your colleagues	Somewhat supportive	Supporting your colleague(s) to excel in academics	Very comfortable	Somewhat comfortable	Yes	3	Watch YouTube Videos	Satisfied	Excellent
Female	20	CS	Christian	Munchies	400	5	2.4	Completing various assignments	Neutral	Doing the right thing even when no one is watching	Somewhat comfortable	Somewhat comfortable	Yes	5	Sleep	 Dissatisfied	Below average
Male	20	BA	Christian	Akornor	250	2	2.37	Others	Neutral	Others	Neither comfortable nor uncomfortable	Somewhat comfortable	Yes	5	 Play a sport	Neither satisfied nor dissatisfied	Below average
Female	19 	CS	Christian	BigBen	100	2	3.47	Completing various assignments	 Extremely Supportive	Doing the right thing even when no one is watching	Very comfortable	Somewhat comfortable	Yes	35	Sleep	Satisfied	Above average
Male	19	CS	Christian	Munchies	210	4	3.47	Others	Somewhat supportive	Making the Dean’s list	Somewhat uncomfortable	Somewhat comfortable	Yes	10	Others	Neither satisfied nor dissatisfied	Average
Male	19	BA	Christian	BigBen	315	5	3.29	Others	Neutral	Supporting your colleague(s) to excel in academics	Neither comfortable nor uncomfortable	Very comfortable	No	12	Sleep	Satisfied	Average
Female	19	BA	Christian	Munchies	280	5	3.15	Writing a lot of quizzes	Somewhat supportive	Doing the right thing even when no one is watching	Somewhat comfortable	Very uncomfortable	No	6	Watch YouTube Videos	Very dissatisfied 	Average
Male	19	CS	Islam	Munchies	60	10	3.82	Writing a lot of quizzes	Neutral	Getting a perfect GPA at the end of the semester	Very comfortable	Very comfortable	Yes	5	Watch TV/Movie	Satisfied	Average
Female	19	MIS	Christian	BigBen	200	3	2.50	Others	 Extremely Supportive	Doing the right thing even when no one is watching	Somewhat comfortable	Somewhat comfortable	No	15	Others	 Dissatisfied	Average
Female	19	BA	Christian	Munchies	200	1	3.13	Writing a lot of quizzes	Somewhat supportive	Others	Somewhat comfortable	Somewhat comfortable	No	4	Others	Satisfied	Above average
Female	20	BA	Christian	Munchies	350	37	3.47	Completing various assignments	Somewhat supportive	Making the Dean’s list	Very comfortable	Very comfortable	Yes	3	Sleep	Satisfied	Above average
Female	19	MIS	Christian	Munchies	210	4	3.50	Completing various assignments	 Extremely Supportive	Supporting your colleague(s) to excel in academics	Very comfortable	Somewhat comfortable	No	6	Sleep	Satisfied	Average
Male	19	BA	Christian	BigBen	200	2	3.6	Writing a lot of quizzes	Neutral	Getting a perfect GPA at the end of the semester	Somewhat comfortable	Somewhat comfortable	No	15	 Play a sport	Neither satisfied nor dissatisfied	Average
Female	21	MIS	Christian	Munchies	50	5	3.0	Writing a lot of quizzes	Somewhat supportive	Getting a perfect GPA at the end of the semester	Very comfortable	Somewhat comfortable	Yes	20	Sleep	Satisfied	Average
Male	21	BA	Christian	Akornor	300	3	4.0	Others	Somewhat supportive	Others	Very comfortable	Very comfortable	Yes	300	Others	Neither satisfied nor dissatisfied	Average
Male	19	CS	Christian	BigBen	300	4	3.7	Others	Somewhat supportive	Others	Somewhat comfortable	Somewhat comfortable	No	150	Sleep	Neither satisfied nor dissatisfied	Average
Female	18	BA	Christian	Munchies	240	3	3.25	Writing a lot of quizzes	Somewhat supportive	Doing the right thing even when no one is watching	Very comfortable	Very comfortable	Yes	15	 Play a sport	Neither satisfied nor dissatisfied	Average
Male	20	BA	Christian	Munchies	70	2	3	Completing various assignments	Somewhat supportive	Making the Dean’s list	Neither comfortable nor uncomfortable	Somewhat comfortable	Yes	30	Sleep	Satisfied	Excellent
Male	19	CS	Christian	Akornor	280	5	3.94	Teaching your colleagues	 Extremely Supportive	Getting a perfect GPA at the end of the semester	Neither comfortable nor uncomfortable	Very comfortable	Yes	20	Sleep	Satisfied	Above average
Male	19	CS	Christian	Akornor	100	13	4.0	Writing a lot of quizzes	Somewhat supportive	Getting a perfect GPA at the end of the semester	Somewhat comfortable	Somewhat comfortable	Yes	25	Play video game	Neither satisfied nor dissatisfied	Average
Male	19	MIS	Christian	Akornor	600	1	2.8	Others	Neutral	Supporting your colleague(s) to excel in academics	Neither comfortable nor uncomfortable	Neither comfortable nor uncomfortable	No	25	Sleep	 Dissatisfied	Average
Female	19	BA	Christian	Munchies	400	3	3.0	Teaching your colleagues	Somewhat supportive	Supporting your colleague(s) to excel in academics	Neither comfortable nor uncomfortable	Somewhat comfortable	No	7	Others	 Dissatisfied	Average
Male	19	CS	Christian	Munchies	210	4	3.0	Teaching your colleagues	 Extremely Supportive	Supporting your colleague(s) to excel in academics	Very comfortable	Very comfortable	Yes	50	 Play a sport	Neither satisfied nor dissatisfied	Above average
Male	19	MIS	Christian	Akornor	300	3	3.2	Others	Somewhat supportive	Doing the right thing even when no one is watching	Very comfortable	Very comfortable	No	6	Sleep	 Dissatisfied	Average
Female	18	BA	Christian	BigBen	75	6	2.39	Others	 Extremely Supportive	Others	Very comfortable	Somewhat comfortable	No	30	Watch TV/Movie	 Dissatisfied	Above average
Female	20	CS	Christian	Munchies	420	4	3.41	Others	Somewhat supportive	Others	Somewhat comfortable	Very comfortable	No	5	Watch TV/Movie	 Dissatisfied	Poor
Female	19	CS	Christian	Munchies	150	1	3.5	Teaching your colleagues	Neutral	Making the Dean’s list	Somewhat uncomfortable	Somewhat comfortable	Yes	6	Sleep	 Dissatisfied	Average
Male	22	CS	Christian	Munchies	420	4	3	Teaching your colleagues	Somewhat supportive	Representing the school at national or international level	Somewhat comfortable	Very comfortable	Yes	50	Watch TV/Movie	Satisfied	Average
Female	22	MIS	Christian	BigBen	420	2	3.59	Writing a lot of quizzes	Somewhat supportive	Representing the school at national or international level	Very comfortable	Somewhat comfortable	No	20	Sleep	Satisfied	Excellent
Female	19	BA	Christian	Akornor	420	6 	4.0	Others	Neutral	Getting a perfect GPA at the end of the semester	Very comfortable	Very comfortable	No	15	Others	Very satisfied	Excellent
Male	21	CS	Christian	BigBen	420	8	4.0	Others	 Extremely Supportive	Doing the right thing even when no one is watching	Very comfortable	Very comfortable	Yes	20	Sleep	Neither satisfied nor dissatisfied	Average
Female	22	BA	Christian	BigBen	420	6	2	Teaching your colleagues	Neutral	Getting a perfect GPA at the end of the semester	Neither comfortable nor uncomfortable	Very comfortable	Yes	3	Sleep	Neither satisfied nor dissatisfied	Excellent
Male	21	CS	Christian	Munchies	420	3	4.00	Writing a lot of quizzes	Somewhat supportive	Getting a perfect GPA at the end of the semester	Somewhat comfortable	Somewhat comfortable	No	2	Watch TV/Movie	Neither satisfied nor dissatisfied	Average
Male	19	CS	Christian	BigBen	60 	3.5	3.09	Others	Neutral	Others	Very comfortable	Somewhat comfortable	Yes	10	Sleep	Neither satisfied nor dissatisfied	Above average
Male	20	MIS	Christian	BigBen	140	6	3.8	Completing various assignments	 Extremely Supportive	Making the Dean’s list	Very comfortable	Very comfortable	Yes	10	Sleep	Very satisfied	Excellent
Female	18	BA	Christian	Akornor	250	5	3.30	Writing a lot of quizzes	Somewhat supportive	Getting a perfect GPA at the end of the semester	Somewhat comfortable	Very comfortable	Yes	25	Watch TV/Movie	Satisfied	Above average
Male	20	CS	Christian	Munchies	60	1	3.77	Others	Neutral	Others	Very comfortable	Very comfortable	No	7	Sleep	Neither satisfied nor dissatisfied	Average
Female	19	BA	Christian	Munchies	120	3	3	Teaching your colleagues	Somewhat supportive	Doing the right thing even when no one is watching	Neither comfortable nor uncomfortable	Neither comfortable nor uncomfortable	No	10	Sleep	Neither satisfied nor dissatisfied	Average
Male	25	BA	Christian	Munchies	420	4	4.0	 Asking a lot of questions in class	 Extremely Supportive	Doing the right thing even when no one is watching	Very comfortable	Neither comfortable nor uncomfortable	Yes	5	Sleep	Neither satisfied nor dissatisfied	Excellent
Female	19	CS	Christian	Munchies	80	3	2.5	Writing a lot of quizzes	 Extremely Supportive	Doing the right thing even when no one is watching	Very comfortable	Somewhat comfortable	No	10	Others	Satisfied	Above average
Female	18	MIS	Christian	BigBen	400	4	3.49	Teaching your colleagues	Somewhat supportive	Making the Dean’s list	Very comfortable	Somewhat comfortable	Yes	7	Sleep	Neither satisfied nor dissatisfied	Average
Male	19	BA	Christian	Akornor	200	3	3.0	Others	Somewhat supportive	Getting a perfect GPA at the end of the semester	Very comfortable	Very comfortable	Yes	5	Watch TV/Movie	Satisfied	Above average
Male	19	BA	Christian	BigBen	300	5	3.0	Teaching your colleagues	Neutral	Supporting your colleague(s) to excel in academics	Very comfortable	Very comfortable	No	1	 Play a sport	Satisfied	Above average
Female	18	CS	Christian	BigBen	100	3	3.72	Writing a lot of quizzes	Somewhat supportive	Getting a perfect GPA at the end of the semester	Very comfortable	Very comfortable	Yes	11	Watch TV/Movie	Satisfied	Above average
Male	19	MIS	Christian	Munchies	300	3	3.5	Teaching your colleagues	 Extremely Supportive	Getting a perfect GPA at the end of the semester	Neither comfortable nor uncomfortable	Very comfortable	No	30	Sleep	Satisfied	Excellent
Female	16	CS	Christian	Akornor	120	5	3.115	Others	Somewhat supportive	Others	Neither comfortable nor uncomfortable	Neither comfortable nor uncomfortable	No	0	Watch TV/Movie	Neither satisfied nor dissatisfied	Average
Male	20	CS	Christian	Munchies	400	3	2.7	Teaching your colleagues	Somewhat supportive	Supporting your colleague(s) to excel in academics	Neither comfortable nor uncomfortable	Somewhat comfortable	Yes	4	Sleep	Satisfied	Above average
Male	22	BA	Christian	Munchies	35	4	2.6	Others	Neutral	Doing the right thing even when no one is watching	Somewhat uncomfortable	Somewhat comfortable	Yes	19	Watch YouTube Videos	Neither satisfied nor dissatisfied	Above average
Male	21	CS	Christian	Munchies	420	4	3.3	Teaching your colleagues	Somewhat supportive	Making the Dean’s list	Very comfortable	Very comfortable	Yes	27	 Play a sport	Very satisfied	Above average
Male	20	CS	Christian	Akornor	250	3	3.00	Teaching your colleagues	 Extremely Supportive	Supporting your colleague(s) to excel in academics	Somewhat comfortable	Neither comfortable nor uncomfortable	No	20	Play video game	Satisfied	Above average
Male	20	CS	Christian	BigBen	200	1	2.5	 Asking a lot of questions in class	Somewhat supportive	Doing the right thing even when no one is watching	Somewhat comfortable	Very comfortable	Yes	10	 Play a sport	Neither satisfied nor dissatisfied	Average
Female	19	BA	Christian	Munchies	20	1	3.39	Writing a lot of quizzes	Somewhat supportive	Others	Somewhat uncomfortable	Somewhat comfortable	No	6	Sleep	Satisfied	Average
Male	20	BA	Christian	BigBen	100	2	2.8	 Asking a lot of questions in class	Neutral	Doing the right thing even when no one is watching	Very comfortable	Very uncomfortable	No	0	Sleep	Neither satisfied nor dissatisfied	Average
Female	20	BA	Christian	Munchies	200	1	3.3	Others	Somewhat supportive	Others	Somewhat comfortable	Neither comfortable nor uncomfortable	No	20	Watch TV/Movie	Satisfied	Above average
Female	21	BA	Christian	Munchies	60	6	2.88	Completing various assignments	Somewhat supportive	Doing the right thing even when no one is watching	Very comfortable	Somewhat comfortable	No	10	Watch YouTube Videos	Neither satisfied nor dissatisfied	Average
Female	20	MIS	Islam	BigBen	250	5	2.33	Completing various assignments	Somewhat supportive	Doing the right thing even when no one is watching	Somewhat comfortable	Somewhat comfortable	Yes	11	Watch YouTube Videos	Satisfied	Above average
Female	19	CS	Christian	Akornor	250	2	2.74	Others	Neutral	Getting a perfect GPA at the end of the semester	Somewhat comfortable	Somewhat comfortable	Yes	10	Watch TV/Movie	Neither satisfied nor dissatisfied	Below average
Female	19	BA	Christian	Munchies	210	7	2.7	Others	Somewhat supportive	Doing the right thing even when no one is watching	Very comfortable	Somewhat comfortable	Yes	30	Sleep	Neither satisfied nor dissatisfied	Above average
Female	20	MIS	Christian	BigBen	420	3	2.67	Others	Somewhat supportive	Doing the right thing even when no one is watching	Very comfortable	Somewhat comfortable	Yes	7	Others	Neither satisfied nor dissatisfied	Average
Male	21	BA	Christian	Munchies	380	2	2.9	Completing various assignments	 Extremely Supportive	Supporting your colleague(s) to excel in academics	Very comfortable	Somewhat comfortable	No	5	Sleep	Neither satisfied nor dissatisfied	Average
Female	18	CS	Christian	BigBen	140	4	3.0	Others	 Extremely Supportive	Others	Very comfortable	Somewhat comfortable	No	7	Others	Very satisfied	Excellent
Female	22	BA	Christian	Akornor	300	8	4.0	Teaching your colleagues	Extremely not supportive	Getting a perfect GPA at the end of the semester	Very uncomfortable	Very comfortable	Yes	2	Sleep	Very satisfied	Poor
Female	19	BA	Christian	BigBen	280	3	3.76	Others	Somewhat supportive	Supporting your colleague(s) to excel in academics	Somewhat comfortable	Somewhat comfortable	Yes	5	Others	Satisfied	Excellent
Male	19	BA	Christian	Munchies	160	3	1.93	Writing a lot of quizzes	Somewhat supportive	Representing the school at national or international level	Neither comfortable nor uncomfortable	Neither comfortable nor uncomfortable	No	60	Sleep	 Dissatisfied	Below average
Male	21	CS	Christian	Munchies	400	5	2.22	Teaching your colleagues	Somewhat supportive	Getting a perfect GPA at the end of the semester	Somewhat comfortable	Somewhat comfortable	Yes	4	 Play a sport	Very dissatisfied 	Below average
Female	21	BA	Christian	Akornor	60	7	2.18	Completing various assignments	Somewhat supportive	Doing the right thing even when no one is watching	Somewhat comfortable	Somewhat comfortable	No	5	Sleep	Neither satisfied nor dissatisfied	Average
